题目,答案,类别
"若X是后序线索二叉树中的叶结点，且X存在左兄弟结点Y,则X的右线索指向的 是____. A. X的父结点 B.以Y为根的子树的最左下结点 C. X的左兄弟结点Y D.以Y为根的子树的最右下结点",A,树和二叉树
在一棵高度为2的5阶B树中，所含关键字的个数最少是____. A. 5 B・ 7 C・ 8 D. 14,A,树和二叉树
"11.对给定的关键字序列110, 119, 007, 911,114,120, 122进行基数排序，则第2趟分配收 集后得到的关键字序列是___________。 A. 007,110,119,114, 911,120, 122 B. 007,110, 119,114, 911,122, 120 C. 007,110,911,114,119,120,122 D. 110, 120,911,122, 114,007,119",C,内部排序
假设栈初始为空，将中缀表达式a/b+(c*d-e*f)/g转换为等价的后缀表达式的过程中 当扫描到f时，栈中的元素依次是__________° A. +(*- B. +(-* C. / + (*-* D. / + -*,B,栈和队列
用哈希（散列）方法处理冲突（碰撞） 会受堆积现象直接影响的是____。 A.存储效率 C.装填（装载）因子 B.散列函数 D.平均查找长度,D,查找
在一棵具有15个关键字的4阶B树中，含关键字的结点个数最多是__________。 A. 5 B. 6 C. 10 D. 15,D,树和二叉树
"用希尔排序方法对一个数据序列进行排序时，若第1趟排序结果为9,1,4,13,7,8,20, 23,15,则该趟排序采用的增量（间隔）可能是___。 A. 2 B. 3 C. 4 D. 5",B,内部排序
"下列选项中，不可能是快速排序第2趟排序结果的是______. A. 2, 3, 5,4, 6, 7, 9 B. 2, 7, 5,6, 4,3, 9 C. 3,2, 5,4, 7, 6, 9 D. 4, 2, 3, 5, 7, 6, 9",C,内部排序
"下列选项给出的是从根分别到达两个叶结点路径上的权值序列，能属于同一棵哈夫曼树的是____. A. 24,10,5 和 24, 10,7 B. 24,10,5 和 24, 12,7 C. 24,10,10 和 24, 14,11 D. 24,10,5 和 24, 14,6",D,树和二叉树
现有一棵无重复关键字的平衡二叉树(AVL树)，对其进行中序遍历可得到一个降序序 列。下列关于该平衡二叉树的叙述中，正确的是____. A.根结点的度一定为2 B.树中最小元素一定是叶结点 C.最后插入的元素一定是叶结点 D.树中最大元素一定是无左子树,D,树和二叉树
下列排序算法中，元素的移动次数与关键字的初始排列次序无关的是__________。 A.直接插入排序 B.起泡排序 C.基数排序 D・快速排序,C,内部排序
"已知小根堆为8,15,10,21,34,16,12,删除关键字8之后需重建堆，在此过程中，关键字之间的比较次数是______。 A・ 1 B. 2 C. 3 D. 4",C,树和二叉树
希尔排序的组内排序采用的是______。 A.直接插入排序 B.折半插入排序 C.快速排序 D・归并排序,A,内部排序
"已知一个带有表头结点的双向循环链表L,结点结构为| prev | daw | next 其中，prev 和next分别是指向其直接前驱和直接后继结点的指针。现要删除指针p所指的结点，正确的语句序列是______。 A ・ p->next->prev = p->prev; p->prev->next = p->prev; free(p); B. p->next->prev = p->next; p->prev->next = p->next; free(p); C. p->next->prev = p->next; p->prev->next = p->prev; free(p); D. p->next->prev = p->prev; p->prev->next = p->next; free(p);",D,线性表
若森林F有15条边、25个结点，则F包含树的个数是_____。 A. 8 B. 9 C. 10 D. 11,C,树和二叉树
B+树不同于B树的特点之一是____。 A.能支持顺序查找 B.结点中含有关键字 C.根结点至少有两个分支 D.所有叶结点都在同一层上,A,查找
对10TB的数据文件进行排序，应使用的方法是____。 A.希尔排序 B.堆排序 C.快速排序 D.归并排序,D,外部排序
"下列关于栈的叙述中，错误的 _____。 I. 采用非递归方式重写递归程序时必须使用栈 II. 函数调用时，系统要用栈保存必要的信息 III. 只要确定了入桟次序，就可确定出栈次序 IV. 栈是一种受限的线性表，允许在其两端进行操作 A.仅 I B.仅 I、II、III C.仅 I、III, IV D.仅 II、III、IV",C,栈和队列
适用于压缩存储稀疏矩阵的两种存储结构是_____。 A.三元组表和十字链表 B.三元组表和邻接矩阵 C.十字链表和二叉链表 D.邻接矩阵和十字链表,A,数组和广义表
要使一棵非空二叉树的先序序列与中序序列相同，其所有非叶结点须满足的条件 是___” A.只有左子树 B.只有右子树 C.结点的度均为1 D.结点的度均为2,B,树和二叉树
"已知无向图G含有16条边，其中度为4的顶点个数为3,度为3的顶点个数为4,其 他顶点的度均小于3。图G所含的顶点个数至少是_________。 A. 10 B. 11 C. 13 D. 15",B,图
下列应用中，适合使用B+树的是___。 A.编译器中的词法分析 B.关系数据库系统中的索引 C.网络中的路由表快速查找 D.操作系统的磁盘空闲块管理,B,查找
在内部排序时，若选择了归并排序而没有选择插入排序，则可能的理由是______。 I.归并排序的程序代码更短. II.归并排序的占用空间更少 III.归并排序的运行效率更高 A.仅 II B.仅 III C.仅 I、II D.仅 I、III,B,内部排序
下列排序方法中，若将顺序存储更换为链式存储，则算法的时间效率会降低的是___. I.插入排序1.选择排序III.起泡排序IV.希尔排序 V.堆排序 A.仅 I、II B.仅 II、III ' C.仅 III、IV D.仅 IV、V,D,内部排序
"现有队列Q与栈S,初始时Q中的元素依次是1,2,3,4,5,6 （1在队头〉，S为空。若仅 允许下列3种操作：①出队并输岀出队元素；②出队并将出队元素入栈；③出栈并输岀出栈元 素，则不能得到的输出序列是___. A.1,2,5,6,4,3 B.2,3,4,5,6,1 C. 3,4,5,6,1,2 D. 6, 5,4, 3,2, 1",C,栈和队列
"已知字符集{a, b, c,d,e,f},若各字符出现的次数分别为6,3,8,2,10,4,则对应字符集 中各字符的哈天曼编码可能是________。 A. 00, 1011,01,1010, 11, 100 B. 00,100,110,000, 0010,01 C. 10, 1011,11,0011,00,010 D. 0011,10, 11,0010,01,000",C,串
高度为5的3阶B树含有的关键字个数至少是_____。 A. 15 B. 31 C.62 * D.242,B,查找
"现有长度为7、初始为空的散列表HT,散列函数H(k) = k%7,用线性探测再散列法解 决冲突。将关键字22,43,15依次插入到HT后，查找成功的平均查找长度是___________。 A. 1.5 B. 1.6 C.2 D. 3",C,查找
"对初始数据序列(8,3,9, 11,2,1,4, 7,5,10,6)进行希尔排序。若第一趟排序结果为(1,3, 7, 5,2, 6,4, 9, 11, 10,8),第二趟排序结果为(1,2, 6,4, 3, 7, 5, 8, II, 10,9),则两趟排序采用的增 量(间隔)依次是_______。 A. 3, 1 B. 3,2 C.5,2 D. 5, 3",D,内部排序
"在任意一棵非空平衡二叉树(AVL树)廿中，删除某结点v之后形成平衡二叉树T2, 再将v插入T2形成平衡二叉树T3。下列关于Ti与口的叙述中，正确的是____。 I. 若v是口的叶结点，则Ti与Ts可能不相同 II. 若v不是「的叶结点，则*与T3—定不相同 III. 若v不是Ti的叶结点，则Ti与T3—定相同 A.仅 I B.仅 II C.仅 I、II D.仅 I, III",A,树和二叉树
"选择一个排序算法时，除算法的吋空效率，下列因素中，还需要考虑的是_________。 I.数据的规模 II.数据的存储方式 III.算法的稳定性 IV.数据的初始状态 A.仅 III B.仅 I、II C.仅 II、III、IV D. I, II、IIL IV",D,内部排序
"设主串T-""abaabaabcabaabc"",模式串S =Habaabcn,采用KMP算法进行模式匹配,到 匹配成功时为止，在匹配过程中进行的单个字符间的比较次数是_________。 A. 9 B. 10 C・ 12 D. 15",B,串
设外存上有120个初始归并段，进行12路归并时，为实现最佳归并，需要补充的虚段 个数是____。 A. 1 B. 2 C. 3 D. 4,B,外部排序
"对空栈 S 进行 Push 和 Pop 操作，入栈序列为 a, b, c, d, e,经过 Push, Push, Pop, Push, Pop, Push, Push, Pop操作后得到的出栈序列是（）。 A. b, a, c B. b, a, e C. b, c, a D. b, c, e",D,栈和队列
对于任意一棵高度为5且有10个结点的二叉树，若采用顺序存储结构保存，每个结点占1 个存储单元（仅存放结点的数据信息），则存放该二叉树需要的存储单元数量至少是（）。 A. 31 B. 16 C. 15 D. 10,A,树和二叉树
"修改递归方式实现的图的深度优先搜索（DFS）算法，将输出（访问）顶点信息的语句移 到退出递归前（即执行输出语句后立刻退出递归）。采用修改后的算法遍历有向无环图G, 若输出结果中包含G中的全部顶点，则输出的顶点序列是G的（ 九 A.拓扑有序序列 B.逆拓扑有序序列 C.广度优先搜索序列 D.深度优先搜索序列",B,图
若使用AOE网估算工程进度，则下列叙述中正确的是()。 A. 关键路径是从原点到汇点边数最多的一条路径 B. 关键路径是从原点到汇点路径长度最长的路径 C. 增加任一关键活动的时间不会延长工程的工期 D. 缩短任一关键活动的时间将会缩短工程的工期,B,图
"依次将关键字5,6,9,13,8,2,12,15插入初始为空的4阶B树后，根结点中包含的关键字 是() A. 8 B. 6,9 C. 8, 13 D. 9, 12",B,树和二叉树
对大部分元素已有序的数组进行排序时，直接插入排序比简单选择排序效率更高，其原因 是()。 I. 直接插入排序过程中元素之间的比较次数更少 II. 直接插入排序过程中所需要的辅助空间更少 III. 直接插入排序过程中元素的移动次数更少 A.仅 I B.仅 in C.仅 I、II D. L II 和 III,A,内部排序
"已知初始为空的队列Q的一端仅能进行入队操作，另外一端既能进行入队操作又能进行出 队操作。若Q的入队序列是1,2,3,4, 5,则不能得到的出队序列是() A・ 5,4,3,1,2 B・ 5,3, 1,2,4 C 4,2, 1,3,5 D. 4, 1,3, 2,5",D,栈和队列
"若某二叉树有5个叶结点，其权值分别为10,12,16,21,30,则其最小的带权路径长度(WPL) 是() A. 89 B. 200 C. 208 D. 289",B,树和二叉树
在一棵高度为3的3阶B树中，根为第1层，若第2层中有4个关键字，则该树的结点个 数最多是（） A. 11 B・ 10 C・ 9 D・ 8,A,树和二叉树
"给定有限符号集S, in和out均为S中所有元素的任意排列。对于初始为空的栈ST,下列叙述中，正确的是（）. A. 若in是ST的入栈序列，则不能判断out是否为其可能的出栈序列 B. 若out是ST的出栈序列，则不能判断in是否为其可能的入栈序列 C. 若in是ST的入栈序列，out是对应in的出栈序列，则in与out—定不同 D. 若in是ST的入栈序列，out是对应in的出栈序列，则in与out可能互为倒序",D,栈和队列
"若三叉树T中有244个结点（叶结点的高度为1）,则T的高度至少是（）. A. 8 B. 7 C. 6 D. 5",C,树和二叉树
"对于无向图G = （V；E）,下列选项中，正确的是（）. A. 当|V|>|E|时,G_定是连通的 B. 当|V|<|E|时，G—定是连通的 C. 当|V| = |E|-1时，G —定是不连通的 D. 当|V|>|E|+1时，G—定是不连通的",D,图
